1920, 3996, 200.12, 43
1920, 3996, 202.20, 43
1920, 3996, 200.16, 43
1800, 3996, 193.07, 43
1800, 3996, 188.40, 43
1800, 3996, 185.56, 43
1800, 3996, 185.73, 43
1800, 3996, 193.61, 43
1800, 3996, 181.64, 43
1800, 3996, 181.89, 43
1800, 3996, 182.08, 43
1800, 3996, 189.04, 43
1800, 3996, 181.89, 43
1800, 3996, 181.63, 43
1800, 3996, 181.37, 43
1800, 3996, 181.72, 43
1800, 3996, 181.40, 42
1800, 3996, 181.41, 42
1800, 3996, 181.25, 42
1800, 3996, 181.44, 42
1800, 3996, 181.48, 42
1800, 3996, 181.24, 42
1800, 3996, 181.13, 42
1800, 3996, 183.45, 42
1800, 3996, 181.18, 42
