1920, 3996, 194.48, 42
1920, 3996, 196.51, 42
1920, 3996, 194.44, 42
1920, 3996, 196.31, 42
1920, 3996, 196.38, 42
1920, 3996, 194.29, 42
1920, 3996, 194.25, 42
1920, 3996, 194.37, 42
1920, 3996, 194.52, 42
1920, 3996, 196.65, 42
1500, 3996, 169.16, 41
1500, 3996, 165.38, 41
1500, 3996, 165.70, 41
1500, 3996, 165.47, 41
1800, 3996, 176.21, 41
1800, 3996, 181.05, 41
1800, 3996, 181.06, 41
1800, 3996, 180.94, 41
1920, 3996, 189.78, 41
1920, 3996, 194.29, 41
1920, 3996, 194.60, 41
1920, 3996, 194.64, 42
1920, 3996, 194.44, 41
1920, 3996, 196.66, 41
1920, 3996, 194.25, 41
