1500, 3996, 169.99, 44
1500, 3996, 172.59, 44
1500, 3996, 170.63, 44
1500, 3996, 172.27, 44
1500, 3996, 172.58, 44
1500, 3996, 170.43, 44
1500, 3996, 172.81, 44
1500, 3996, 170.82, 44
1500, 3996, 170.40, 44
1500, 3996, 170.36, 44
1500, 3996, 170.49, 44
1500, 3996, 170.75, 44
1500, 3996, 170.59, 44
1500, 3996, 169.31, 44
1500, 3996, 169.46, 44
1500, 3996, 170.00, 44
1500, 3996, 171.33, 44
1500, 3996, 170.98, 44
1500, 3996, 170.60, 44
1500, 3996, 173.18, 44
1500, 3996, 170.90, 44
1500, 3996, 170.86, 44
1500, 3996, 170.82, 44
1500, 3996, 170.87, 44
1500, 3996, 170.68, 44
