2032, 202.91, 41
2032, 202.54, 41
2032, 200.56, 41
2032, 200.77, 41
2032, 200.77, 41
2032, 200.70, 41
2032, 200.61, 41
2032, 200.58, 41
2032, 200.57, 41
2032, 200.53, 41
2032, 200.60, 41
2032, 200.64, 41
2032, 200.87, 41
2032, 200.87, 41
2032, 200.76, 41
2032, 200.65, 41
2032, 200.49, 41
2032, 200.80, 41
2032, 200.82, 41
2032, 200.78, 41
2032, 200.71, 41
2032, 200.44, 41
2032, 200.51, 41
2032, 218.79, 44
2032, 230.58, 42
2032, 230.58, 42
2032, 231.23, 42
2032, 215.38, 42
2032, 200.97, 42
2032, 200.94, 42
2032, 200.93, 42
2032, 200.67, 42
2032, 200.37, 41
2032, 200.36, 42
2032, 200.36, 42
2032, 200.37, 41
2032, 200.36, 41
457, 185.70, 41
412, 174.44, 41
345, 157.16, 41
315, 145.52, 40
285, 142.65, 40
262, 142.31, 40
217, 142.04, 40
195, 141.74, 40
180, 141.19, 40
165, 140.82, 40
142, 140.29, 40
127, 140.21, 40
120, 140.17, 40
120, 140.18, 40
120, 140.18, 40
120, 140.18, 40
120, 140.18, 40
120, 140.18, 40
120, 140.18, 40
120, 140.18, 40
120, 141.49, 40
1800, 151.69, 41
1800, 164.45, 41
1800, 173.18, 41
1800, 186.19, 41
1800, 184.53, 41
1800, 184.72, 41
1800, 184.75, 41
1800, 184.75, 41
1800, 184.75, 41
1800, 184.64, 41
1800, 184.68, 41
1800, 184.72, 41
1800, 184.91, 41
1800, 184.99, 41
1800, 184.91, 41
1800, 184.83, 41
1800, 184.64, 41
1800, 184.71, 41
1800, 184.79, 41
1800, 184.83, 41
1800, 184.83, 41
1800, 184.76, 41
1800, 184.83, 41
1800, 184.79, 41
1800, 184.75, 41
1800, 184.79, 41
1800, 184.71, 41
1800, 184.79, 41
1800, 184.79, 41
1800, 184.72, 41
1800, 184.71, 41
1800, 184.68, 41
1800, 184.87, 41
1800, 184.87, 41
1800, 184.87, 41
1800, 184.87, 41
1800, 184.75, 41
1800, 185.03, 41
1800, 184.95, 41
1800, 184.95, 41
1800, 184.99, 41
1800, 184.72, 41
1800, 184.95, 41
1800, 184.95, 41
1800, 184.91, 41
1800, 184.99, 41
1800, 184.83, 41
1800, 184.91, 41
1800, 184.91, 41
1800, 184.79, 41
1800, 184.72, 41
1800, 184.60, 41
1800, 184.79, 41
1800, 184.83, 41
1800, 184.83, 41
1800, 184.79, 41
1800, 184.68, 41
1800, 184.72, 41
1800, 184.68, 41
1800, 185.09, 41
1800, 187.09, 41
1800, 187.01, 41
1800, 187.29, 41
1800, 186.82, 41
1800, 184.83, 41
1800, 184.91, 41
1800, 184.79, 41
1800, 184.87, 41
1800, 184.95, 41
1800, 184.83, 41
1800, 184.83, 41
1800, 184.79, 41
1800, 186.82, 41
1800, 186.94, 41
1800, 186.90, 41
1800, 186.86, 41
1800, 184.76, 41
1800, 184.91, 41
1800, 184.95, 41
1800, 184.91, 41
1800, 184.87, 41
