2026/04/23 11:23:24.008, 262 MHz, 142.16 W, 40
2026/04/23 11:23:24.263, 240 MHz, 141.85 W, 40
2026/04/23 11:23:24.513, 217 MHz, 141.50 W, 40
2026/04/23 11:23:24.763, 180 MHz, 140.95 W, 40
2026/04/23 11:23:25.013, 165 MHz, 140.67 W, 40
2026/04/23 11:23:25.263, 157 MHz, 140.21 W, 40
2026/04/23 11:23:25.513, 142 MHz, 140.17 W, 40
2026/04/23 11:23:25.763, 120 MHz, 140.18 W, 40
2026/04/23 11:23:26.013, 120 MHz, 140.18 W, 40
2026/04/23 11:23:26.263, 120 MHz, 140.18 W, 40
2026/04/23 11:23:26.514, 120 MHz, 140.18 W, 40
2026/04/23 11:23:26.764, 120 MHz, 140.17 W, 40
2026/04/23 11:23:27.014, 120 MHz, 140.17 W, 40
2026/04/23 11:23:27.264, 120 MHz, 140.18 W, 40
2026/04/23 11:23:27.514, 120 MHz, 140.17 W, 40
2026/04/23 11:23:27.764, 120 MHz, 140.18 W, 40
2026/04/23 11:23:28.014, 120 MHz, 140.18 W, 40
2026/04/23 11:23:28.264, 120 MHz, 140.18 W, 40
2026/04/23 11:23:28.514, 120 MHz, 140.17 W, 40
2026/04/23 11:23:28.764, 120 MHz, 140.18 W, 40
2026/04/23 11:23:29.015, 120 MHz, 140.21 W, 40
2026/04/23 11:23:29.265, 120 MHz, 140.25 W, 40
2026/04/23 11:23:29.515, 2032 MHz, 154.04 W, 40
2026/04/23 11:23:29.765, 2032 MHz, 191.17 W, 43
2026/04/23 11:23:30.015, 2032 MHz, 260.06 W, 44
2026/04/23 11:23:30.265, 2032 MHz, 302.62 W, 45
2026/04/23 11:23:30.515, 2032 MHz, 360.89 W, 45
2026/04/23 11:23:30.765, 2032 MHz, 370.25 W, 45
2026/04/23 11:23:31.015, 2032 MHz, 370.41 W, 45
2026/04/23 11:23:31.265, 2032 MHz, 370.57 W, 45
2026/04/23 11:23:31.516, 2032 MHz, 370.61 W, 45
2026/04/23 11:23:31.766, 2032 MHz, 370.68 W, 46
2026/04/23 11:23:32.016, 2032 MHz, 370.72 W, 46
2026/04/23 11:23:32.266, 2032 MHz, 370.75 W, 46
2026/04/23 11:23:32.516, 2032 MHz, 370.86 W, 46
2026/04/23 11:23:32.766, 2032 MHz, 373.40 W, 46
2026/04/23 11:23:33.016, 2032 MHz, 373.43 W, 46
2026/04/23 11:23:33.266, 2032 MHz, 373.52 W, 46
2026/04/23 11:23:33.517, 2032 MHz, 373.58 W, 46
2026/04/23 11:23:33.767, 2032 MHz, 371.16 W, 46
2026/04/23 11:23:34.019, 2032 MHz, 371.35 W, 46
2026/04/23 11:23:34.269, 2032 MHz, 371.39 W, 46
2026/04/23 11:23:34.519, 2032 MHz, 371.49 W, 46
2026/04/23 11:23:34.769, 2032 MHz, 371.49 W, 46
2026/04/23 11:23:35.019, 2032 MHz, 371.45 W, 46
2026/04/23 11:23:35.269, 2032 MHz, 371.44 W, 46
2026/04/23 11:23:35.519, 2032 MHz, 371.48 W, 46
2026/04/23 11:23:35.770, 2032 MHz, 371.52 W, 46
2026/04/23 11:23:36.020, 2032 MHz, 371.65 W, 46
2026/04/23 11:23:36.270, 2032 MHz, 371.75 W, 46
2026/04/23 11:23:36.520, 2032 MHz, 371.67 W, 46
2026/04/23 11:23:36.770, 2032 MHz, 371.74 W, 46
